GeneID	22_NIBD_NI	23_NIBD_NI	25_NIBD_NI	27_NIBD_NI	30_NIBD_NI	31_NIBD_NI	32_NIBD_NI	36_NIBD_NI	39_NIBD_NI	42_NIBD_NI	43_NIBD_NI	48_NIBD_NI	49_NIBD_NI	50_NIBD_NI	20_CD_NI_B2	21_CD_NI_B2	29_CD_NI_B3	405_CD_NI_B1	407_CD_NI_B3	408_CD_NI_B1	413_CD_NI_B1	420_CD_NI_B2	422_CD_NI_B2	424_CD_NI_B3	429_CD_NI_B1	431_CD_NI_B1	433_CD_NI_B1	434_CD_NI_B3	440_CD_NI_B2	450_CD_NI_B3	51_CD_NI_B2	54_CD_NI_B1	62_CD_NI_B3	63_CD_NI_B1	64_CD_NI_B3	407_CD_IF_B3	408_CD_IF_B1	413_CD_IF_B1	431_CD_IF_B1	434_CD_IF_B3	440_CD_IF_B2
hsa-mir-16-2-5p	299.42	1926.09	462.79	483.11	471.63	551.43	1567.09	530.52	590.75	617.63	1890.07	292.51	853.52	1997.48	982.89	1121.53	1250.33	817.71	2317.67	65.89	87.2	569.96	131.86	1247.37	336.77	446.25	203.24	37.12	346.75	985.98	288.8	1326.95	753.26	1081.31	662.19	540.73	225.15	452.56	1361.84	663.76	305.09
hsa-mir-16-1-5p	300.82	1929.37	464.48	483.93	472.17	551.86	1568.79	531.89	590.41	619.11	1893.16	293.24	855.62	2000.5	985.63	1124.93	1252.55	817.98	2325.23	66.82	86.97	570.88	132.34	1252.59	337.37	447.61	204.37	37.42	349.22	987.49	289.15	1327.53	754.49	1082.76	665.26	542.56	226.18	452.56	1362.58	665.02	307.12
hsa-mir-185-5p	9.98	9.72	3.13	3.6	3.12	6.06	12.2	4.11	6.98	6.17	11.19	3.73	5.4	12.69	7.01	8.76	10.09	22.55	120.98	0	1.43	7.73	9.3	9.69	8.65	4.06	1.68	0	3.29	25.45	4.76	6.47	7.18	6.41	4.82	5.55	2.8	6.08	10.6	6.43	7.6
hsa-mir-125b-2-3p+2	56.89	36.33	51.37	49.06	73.82	32.65	45.81	42.14	29.43	31.05	29.87	47.88	30.45	29.2	17.66	39.58	41.27	46.61	24.05	16.7	7.3	23.45	21.67	27.25	160.41	22.25	26.28	5.55	27.72	12.83	51.4	45.48	36.78	22.47	43.14	21.13	23.34	45.46	58.07	10.75	56.89
hsa-mir-24-2-3p	157.43	122.85	67.54	59.47	113	106.86	193.19	109.07	122.6	100.41	155.57	111.53	125.22	203.42	96.04	116.93	126.27	727.58	317.19	27.38	15.96	142.59	43.95	107.74	114.05	83.08	69.24	12.97	115.12	1496.39	97.01	126.78	96.15	141.3	116.4	139.85	65.4	99.92	212.53	140.82	247.54
hsa-mir-24-1-3p	160.45	124.2	69.08	60.73	116.02	109.09	196.82	110.67	125.43	102.58	158.1	114.07	127.23	206.65	98.36	119.38	129.69	737.47	320.97	28.3	16.28	144.16	45.01	108.55	117.03	84.89	70.64	13.27	116.77	1502.25	98.29	128.13	97.55	144.21	118.28	140.48	66	102.35	218.08	142.61	250.32
hsa-mir-504+1	14.63	26.15	44.88	9.52	30.18	36.4	17.38	22.1	36.41	11.31	11.33	54.59	7.73	8.09	26.53	34.05	45.81	4.89	2.3	6.96	3.67	12.25	11.26	12.4	127.91	11.12	2.06	2.02	5.76	2.93	13.2	4.06	12.92	4.49	9.59	3.68	2.53	17.75	16.89	7.59	11.3
hsa-mir-199a-1-3p-1	33.13	119.03	36.21	60.18	53.01	60.03	145.77	100.58	152.78	50.2	156.58	50.84	79.4	173.38	72.46	115.55	92.07	75.97	266.63	7.11	9.63	71.43	38.67	108.03	148.88	38.53	13.84	2.5	12.94	31.04	80.82	152.94	94.79	74.09	58.35	38.2	23.42	55.59	89.06	40.85	24.58
hsa-mir-199b-3p-1	33.13	119.03	36.21	60.18	53.01	60.03	145.77	100.58	152.78	50.2	156.58	50.84	79.4	173.38	72.46	115.55	92.07	75.97	266.63	7.11	9.63	71.43	38.67	108.03	148.88	38.53	13.84	2.5	12.94	31.04	80.82	152.94	94.79	74.09	58.35	38.2	23.42	55.59	89.06	40.85	24.58
hsa-mir-199a-2-3p-1	33.13	119.88	36.39	60.25	53.34	60.29	146.54	100.81	153.44	50.55	156.86	50.88	79.75	173.53	72.95	115.74	92.44	76.32	267.51	7.11	9.63	71.63	38.76	108.34	150.37	38.68	13.89	2.5	12.81	31.24	81.04	153.14	95.14	74.48	58.72	38.39	23.46	55.59	89.43	40.95	24.58
